Date,USD,EUR,JPY,CNY,RUB
11/30/2006,"627,8","487,1","73 631,7","4 936,6","16 693,3"
12/29/2006,"629,8","476,6","73 711,4","4 927,4","16 552,2"
1/31/2007,"631,2","485,9","76 036,8","4 915,6","16 724,1"
2/28/2007,"664,8","508,0","80 086,1","5 151,9","17 484,6"
3/30/2007,"654,9","494,5","76 827,9","5 068,0","17 095,3"
4/30/2007,"679,4","502,2","80 795,4","5 247,4","17 536,6"
5/31/2007,"666,9","493,5","80 555,6","5 119,1","17 222,8"
6/29/2007,"655,5","488,3","80 396,6","5 003,3","16 983,8"
7/31/2007,"665,3","484,8","80 810,3","5 040,2","16 986,6"
8/31/2007,"665,4","488,4","77 661,7","5 040,1","17 051,5"
9/28/2007,"712,7","512,2","81 994,0","5 360,9","18 022,5"
10/31/2007,"754,6","530,4","87 446,0","5 661,2","18 775,4"
11/30/2007,"806,3","549,2","89 476,6","5 983,3","19 723,9"
12/31/2007,"803,2","551,2","90 155,8","5 924,6","19 729,9"
1/31/2008,"889,6","604,4","95 794,0","6 445,3","21 770,0"
2/29/2008,"922,3","625,0","98 751,2","6 608,3","22 587,5"
3/31/2008,"968,4","623,4","97 672,8","6 851,3","22 959,9"
4/30/2008,"909,7","577,5","93 433,2","6 366,5","21 396,7"
5/30/2008,"888,7","571,3","92 738,9","6 196,8","21 082,1"
6/30/2008,"889,5","571,5","95 072,9","6 135,4","21 024,5"
7/31/2008,"939,8","596,3","100 388,2","6 425,1","21 949,9"
8/29/2008,"839,0","560,7","91 795,6","5 749,4","20 317,1"
9/30/2008,"829,9","577,9","88 485,6","5 674,4","21 016,6"
10/31/2008,"806,6","606,6","80 896,0","5 514,7","21 339,4"
11/28/2008,"760,9","597,5","73 694,3","5 197,2","20 800,1"
12/31/2008,"816,1","607,4","74 451,0","5 592,8","22 885,2"
1/30/2009,"858,7","648,8","77 443,2","5 874,6","27 650,0"
2/27/2009,"943,2","736,8","87 700,6","6 448,9","33 769,9"
3/31/2009,"924,3","708,7","90 428,0","6 318,8","31 987,2"
4/30/2009,"890,2","674,5","87 864,9","6 081,2","29 828,5"
5/29/2009,"928,6","679,6","89 566,9","6 337,9","29 639,8"
6/30/2009,"945,7","674,6","91 393,0","6 462,6","29 379,8"
7/31/2009,"934,2","663,2","88 154,4","6 382,6","29 433,3"
8/31/2009,"949,4","665,5","90 181,1","6 486,6","30 053,5"
9/30/2009,"996,6","684,1","91 049,4","6 805,0","30 621,8"
10/30/2009,"1 043,2","704,2","94 233,8","7 121,8","30 711,6"
11/30/2009,"1 127,0","755,6","100 449,9","7 694,8","32 630,9"
12/31/2009,"1 134,7","776,2","101 632,4","7 747,5","34 166,4"
1/29/2010,"1 118,0","783,0","101 836,5","7 632,4","33 331,0"
2/26/2010,"1 095,4","800,7","98 749,7","7 479,9","33 030,4"
3/31/2010,"1 113,3","820,2","100 980,6","7 600,0","32 913,9"
4/30/2010,"1 148,7","856,5","107 291,0","7 840,9","33 527,5"
5/31/2010,"1 205,4","962,4","110 675,4","8 230,5","36 832,8"
6/30/2010,"1 232,9","1 009,1","111 939,2","8 406,2","38 511,1"
7/30/2010,"1 193,0","933,0","104 400,7","8 084,6","36 520,2"
8/31/2010,"1 215,8","942,2","103 851,8","8 252,2","36 930,8"
9/30/2010,"1 271,0","971,2","107 233,9","8 567,2","39 129,9"
10/29/2010,"1 342,0","965,8","109 748,1","8 948,8","40 675,8"
11/30/2010,"1 369,9","1 004,7","113 089,2","9 113,9","42 479,9"
12/31/2010,"1 390,6","1 051,3","116 026,0","9 252,4","42 936,1"
1/31/2011,"1 356,4","1 015,5","112 130,3","8 953,3","40 826,9"
2/28/2011,"1 372,7","1 005,1","113 332,4","9 035,5","40 138,8"
3/31/2011,"1 424,0","1 015,9","116 230,1","9 347,9","40 456,1"
4/29/2011,"1 473,8","1 021,3","122 926,0","9 623,7","41 397,6"
5/31/2011,"1 510,4","1 056,1","122 497,6","9 812,1","42 249,0"
6/30/2011,"1 528,7","1 061,6","122 966,1","9 897,5","42 756,3"
7/29/2011,"1 572,8","1 101,0","124 721,7","10 157,8","43 876,3"
8/31/2011,"1 755,8","1 225,6","135 126,8","11 245,6","50 620,1"
9/30/2011,"1 771,9","1 287,3","136 153,7","11 322,6","54 386,4"
10/31/2011,"1 665,2","1 213,6","127 664,1","10 614,1","52 034,6"
11/30/2011,"1 739,0","1 282,4","134 810,9","11 056,1","53 610,7"
12/30/2011,"1 652,3","1 253,3","128 625,5","10 490,4","52 131,5"
1/31/2012,"1 656,1","1 283,4","127 405,5","10 459,0","51 795,9"
2/29/2012,"1 742,6","1 316,4","136 935,4","10 979,5","51 871,3"
3/30/2012,"1 673,8","1 267,0","138 016,9","10 566,5","49 124,3"
4/30/2012,"1 650,1","1 252,8","134 030,4","10 395,8","48 610,9"
5/31/2012,"1 585,5","1 240,4","126 335,3","10 021,5","49 119,3"
6/29/2012,"1 596,7","1 272,5","126 786,7","10 156,2","52 302,1"
7/31/2012,"1 593,9","1 296,8","125 911,8","10 157,4","51 764,9"
8/31/2012,"1 626,0","1 311,2","127 972,4","10 343,3","51 947,8"
9/28/2012,"1 744,5","1 355,3","136 343,8","11 029,4","54 714,5"
10/31/2012,"1 747,0","1 346,6","137 979,7","10 966,3","54 393,7"
11/30/2012,"1 721,1","1 341,2","139 481,3","10 735,1","53 967,0"
12/31/2012,"1 688,5","1 288,2","140 913,4","10 528,9","51 892,9"
1/31/2013,"1 671,0","1 256,0","148 910,5","10 400,0","50 482,9"
2/28/2013,"1 627,6","1 219,2","151 506,8","10 146,1","49 171,6"
3/29/2013,"1 592,9","1 229,0","151 081,7","9 901,6","49 095,2"
4/30/2013,"1 485,1","1 139,7","145 447,3","9 186,9","46 535,1"
5/31/2013,"1 413,5","1 089,0","142 732,2","8 680,4","44 317,8"
6/28/2013,"1 342,4","1 016,9","130 456,6","8 234,4","43 394,5"
7/31/2013,"1 286,7","983,3","128 251,3","7 893,0","42 157,7"
8/30/2013,"1 347,1","1 011,9","131 762,9","8 246,5","44 481,1"
9/30/2013,"1 348,8","1 010,3","133 864,6","8 254,5","43 943,8"
10/31/2013,"1 316,2","964,9","128 743,8","8 033,4","42 206,2"
11/29/2013,"1 275,8","945,7","127 730,1","7 773,5","41 787,6"
12/31/2013,"1 225,4","894,0","126 489,2","7 445,5","40 312,6"
1/31/2014,"1 244,8","914,4","129 165,0","7 532,8","42 104,7"
2/28/2014,"1 301,0","951,8","132 879,3","7 911,5","45 953,8"
3/31/2014,"1 336,1","966,0","136 678,4","8 248,2","48 273,0"
4/30/2014,"1 299,0","940,6","133 093,4","8 086,2","46 342,8"
5/30/2014,"1 287,5","937,9","131 039,6","8 031,3","44 842,8"
6/30/2014,"1 279,1","940,8","130 555,2","7 970,1","43 956,0"
7/31/2014,"1 311,0","968,6","133 419,2","8 126,7","45 548,6"
8/29/2014,"1 296,0","972,9","133 339,2","7 976,5","46 879,8"
9/30/2014,"1 238,8","960,3","132 917,1","7 604,9","47 076,1"
10/31/2014,"1 222,5","964,3","132 019,6","7 487,9","50 062,0"
11/28/2014,"1 176,3","943,2","136 891,8","7 205,7","54 506,5"
12/31/2014,"1 202,3","974,3","143 451,4","7 438,8","68 568,1"
1/30/2015,"1 251,9","1 079,2","148 027,0","7 785,7","80 909,5"
2/27/2015,"1 227,2","1 081,1","145 711,3","7 672,2","78 925,5"
3/31/2015,"1 178,6","1 089,5","141 910,2","7 354,0","70 901,4"
4/30/2015,"1 197,9","1 108,9","143 195,1","7 429,9","62 929,4"
5/29/2015,"1 199,1","1 073,7","144 869,9","7 438,1","60 601,4"
6/30/2015,"1 181,5","1 052,2","146 203,8","7 330,8","64 540,7"
7/31/2015,"1 130,0","1 027,5","139 322,4","7 015,7","64 899,1"
8/31/2015,"1 117,5","1 003,7","137 591,0","7 083,3","73 342,8"
9/30/2015,"1 124,5","1 001,2","135 050,7","7 161,8","75 041,2"
10/30/2015,"1 159,3","1 032,2","139 207,9","7 360,8","73 125,2"
11/30/2015,"1 085,7","1 012,6","133 144,9","6 916,9","70 592,2"
12/31/2015,"1 068,3","981,6","130 138,9","6 886,9","74 668,9"
1/29/2016,"1 097,4","1 010,6","129 712,7","7 213,2","84 615,7"
2/29/2016,"1 199,9","1 081,2","137 464,4","7 857,0","92 647,8"
3/31/2016,"1 246,3","1 119,9","140 766,8","8 103,8","87 411,4"
4/29/2016,"1 242,3","1 095,1","136 116,9","8 046,7","82 607,6"
5/31/2016,"1 259,4","1 114,0","137 208,4","8 224,0","83 017,2"
6/30/2016,"1 276,4","1 136,0","134 454,4","8 412,5","82 941,3"
7/29/2016,"1 337,3","1 209,1","139 208,0","8 931,5","86 141,3"
8/31/2016,"1 341,1","1 196,6","135 757,3","8 914,0","87 030,4"
9/30/2016,"1 326,0","1 182,7","135 054,6","8 847,2","85 433,9"
10/31/2016,"1 266,6","1 149,1","131 585,6","8 527,9","79 281,1"
11/30/2016,"1 236,0","1 145,6","134 057,9","8 456,8","79 636,1"
12/30/2016,"1 151,4","1 090,7","133 247,9","7 963,0","71 519,2"
1/31/2017,"1 192,6","1 121,1","136 890,2","8 216,6","71 340,2"
2/28/2017,"1 234,4","1 160,2","139 413,3","8 475,3","72 096,9"
3/31/2017,"1 231,1","1 152,3","138 969,0","8 484,9","71 261,1"
4/28/2017,"1 265,6","1 180,8","139 580,5","8 719,1","71 590,1"
5/31/2017,"1 245,0","1 126,1","139 796,0","8 560,7","71 120,6"
6/30/2017,"1 260,3","1 121,7","139 752,8","8 569,5","73 155,7"
7/31/2017,"1 236,2","1 072,9","138 982,4","8 362,1","73 792,8"
8/31/2017,"1 282,3","1 086,0","140 853,7","8 552,2","76 242,6"
9/29/2017,"1 315,0","1 104,6","145 647,9","8 630,4","75 857,4"
10/31/2017,"1 279,5","1 088,6","144 458,8","8 466,0","73 886,3"
11/30/2017,"1 282,3","1 091,9","144 631,3","8 485,0","75 627,1"
12/29/2017,"1 261,3","1 067,0","142 433,3","8 318,9","74 111,7"
1/31/2018,"1 331,7","1 091,2","147 612,4","8 557,8","75 397,2"
2/28/2018,"1 331,5","1 078,4","143 659,2","8 419,0","75 674,4"
3/30/2018,"1 324,7","1 073,8","140 550,8","8 377,6","75 734,0"
4/30/2018,"1 334,7","1 087,2","143 696,5","8 420,9","81 536,6"
5/31/2018,"1 303,0","1 102,1","142 920,4","8 307,7","81 186,9"
6/29/2018,"1 281,6","1 097,5","141 055,8","8 289,1","80 478,4"
7/31/2018,"1 238,5","1 060,1","138 077,3","8 327,2","77 817,2"
8/31/2018,"1 201,3","1 040,9","133 375,1","8 237,1","79 821,5"
9/28/2018,"1 198,5","1 027,6","134 271,9","8 226,9","81 081,2"
10/31/2018,"1 215,4","1 058,4","137 058,7","8 412,2","80 009,3"
11/30/2018,"1 221,0","1 074,6","138 366,6","8 472,3","81 209,8"
12/31/2018,"1 247,9","1 096,9","140 382,6","8 591,3","83 914,0"
1/31/2019,"1 291,8","1 131,5","140 783,0","8 768,8","86 103,7"
2/28/2019,"1 320,1","1 163,2","145 802,6","8 896,7","86 902,5"
3/29/2019,"1 300,9","1 151,6","144 597,9","8 733,8","84 794,3"
4/30/2019,"1 286,5","1 145,4","143 599,2","8 642,1","83 162,4"
5/31/2019,"1 284,0","1 147,9","141 154,9","8 805,0","83 347,8"
6/28/2019,"1 359,0","1 203,2","146 882,1","9 375,7","87 068,0"
7/31/2019,"1 413,0","1 260,1","152 985,7","9 719,0","89 350,7"
8/30/2019,"1 498,8","1 346,9","159 181,8","10 583,9","98 665,6"
9/30/2019,"1 511,3","1 372,7","162 408,1","10 757,6","98 099,2"
10/31/2019,"1 494,8","1 351,9","161 656,3","10 607,1","96 168,9"
11/29/2019,"1 470,0","1 330,7","160 083,7","10 321,3","93 890,4"
12/31/2019,"1 476,0","1 328,7","161 022,4","10 356,7","93 010,2"
1/31/2020,"1 560,7","1 406,3","170 582,8","10 788,6","96 703,4"
2/28/2020,"1 597,1","1 464,7","175 746,6","11 175,6","102 470,8"
3/31/2020,"1 591,9","1 440,2","171 332,5","11 176,6","118 693,8"
4/30/2020,"1 682,9","1 549,7","181 258,7","11 906,2","126 555,0"
5/29/2020,"1 716,4","1 573,9","184 070,7","12 193,6","124 915,6"
6/30/2020,"1 732,2","1 538,6","186 356,8","12 269,1","120 150,9"
7/31/2020,"1 843,3","1 606,0","196 652,5","12 916,9","131 928,5"
8/31/2020,"1 968,6","1 665,0","208 721,6","13 646,9","145 292,2"
9/30/2020,"1 922,2","1 630,6","203 024,7","13 095,7","146 201,0"
10/30/2020,"1 900,3","1 614,5","199 943,1","12 782,6","147 499,5"
11/30/2020,"1 863,5","1 575,0","194 620,5","12 306,4","143 134,9"
12/31/2020,"1 856,0","1 525,9","192 691,4","12 140,7","137 434,3"
1/29/2021,"1 867,0","1 533,9","193 742,5","12 078,3","138 877,3"
2/26/2021,"1 808,2","1 495,1","190 494,1","11 682,6","134 511,7"
3/31/2021,"1 718,2","1 444,1","186 837,2","11 188,4","128 026,8"
4/30/2021,"1 761,7","1 469,9","191 871,0","11 476,7","133 935,3"
5/31/2021,"1 853,2","1 525,3","202 224,5","11 916,4","136 980,1"
6/30/2021,"1 834,6","1 522,7","201 998,8","11 787,0","133 214,7"
